dataset,num_constraints,n,exact_success_rate,mean_ratio,max_ratio,failure_rate_2x,mean_greedy_runtime,mean_exact_runtime,runtime_ratio_greedy_over_exact,mean_greedy_iterations,mean_discovered_muses,mean_mus_size,mean_overlap,mean_weight_mean,mean_weight_variance
A,10,20,1.0,1.0,1.0,0.0,0.00293780826614234,0.002663956186734095,1.1027990177811358,1.0,1.0,2.0,0.0,1.83,0.44899999999999995
A,20,20,1.0,1.0,1.0,0.0,0.00228380414773705,0.0038236624444834347,0.5972818419240941,1.0,1.0,2.0,0.0,1.955,0.43775000000000003
A,50,20,1.0,1.0,1.0,0.0,0.00532880201353686,0.008395197906065684,0.6347440612075033,1.0,1.0,2.0,0.0,2.005,0.4379399999999999
A,100,20,1.0,1.0,1.0,0.0,0.011136085411999331,0.0159586543042678,0.6978085494978874,1.0,1.0,2.0,0.0,2.0105,0.43744499999999986
A,200,20,1.0,1.0,1.0,0.0,0.025412399787455752,0.031214875052683007,0.8141118535494982,1.0,1.0,2.0,0.0,2.0245,0.42093999999999987
B,10,20,1.0,1.0,1.0,0.0,0.005887522839475385,0.002907101961318355,2.0252206210219836,5.0,5.0,2.0,0.2666666666666666,2.245,0.7525000000000001
B,20,20,1.0,1.0,1.0,0.0,0.010194895887980185,0.004525418806588235,2.2528071596684405,5.0,5.0,2.0,0.2666666666666666,2.15,0.5725000000000001
B,50,20,1.0,1.0,1.0,0.0,0.0232509605470113,0.009108462353469755,2.552676801497032,5.0,5.0,2.0,0.2666666666666666,2.083,0.4955400000000001
B,100,20,1.0,1.0,1.0,0.0,0.0452687668614089,0.01688012908562082,2.6817784764436827,5.0,5.0,2.0,0.2666666666666666,2.05,0.4690400000000001
B,200,20,1.0,1.0,1.0,0.0,0.09263750633108425,0.03254542719805607,2.846406217602744,5.0,5.0,2.0,0.2666666666666666,2.0460000000000003,0.43588250000000023
C,10,20,1.0,1.0,1.0,0.0,0.001408548059407575,0.002450035355286625,0.5749092789082595,1.0,1.0,2.0,0.0,1.895,1.0855000000000001
C,20,20,1.0,1.0,1.0,0.0,0.0024014665454159903,0.00408745210734191,0.5875216350798238,1.0,1.0,2.0,0.0,2.025,1.27125
C,50,20,1.0,1.0,1.0,0.0,0.00574853959260503,0.0087794353428762,0.6547732705007622,1.0,1.0,2.0,0.0,2.102,1.3832799999999996
C,100,20,1.0,1.0,1.0,0.0,0.01247022284660483,0.016972750041168137,0.7347202319222145,1.0,1.0,2.0,0.0,2.1205,1.411045
C,200,20,1.0,1.0,1.0,0.0,0.03061472909175786,0.03237338744802395,0.9456758005602705,1.0,1.0,2.0,0.0,2.1262499999999998,1.4422862500000009
